cik,gvkey,ticker,company_name,filing_date,fiscal_year,mdna_total_word_count,mdna_total_sentence_count,mdna_total_char_count,n_ai_candidate_sentences,n_generic_ai_sentences,n_substantive_ai_implementation_sentences,n_substantive_ai_risk_governance_sentences,n_substantive_ai_total_sentences,ai_candidate_intensity,generic_ai_intensity,substantive_ai_implementation_intensity,substantive_ai_risk_governance_intensity,substantive_ai_total_intensity,generic_ai_share,substantive_ai_share,substantive_impl_share,substantive_risk_share,net_substantive_minus_generic,impl_minus_generic,risk_minus_generic,any_generic_ai_dummy,any_substantive_ai_dummy,any_substantive_ai_implementation_dummy,any_substantive_ai_risk_governance_dummy,n_dropped_duplicate_sentences,avg_classification_confidence
0000004962,1447,AXP,American Express Company,2022-02-11,2022,22653,570,147958,3,1,0,1,1,0.10316514368957753,0.0007945967421533572,0.0,0.0007945967421533572,0.0007945967421533572,0.5,0.5,0.0,0.5,0.0,-0.0007945967421533572,0.0,1,1,0,1,23,0.9
0000004962,1447,AXP,American Express Company,2023-02-10,2023,21832,566,144414,3,1,0,1,1,0.11121289849761817,0.0008244778307072187,0.0,0.0008244778307072187,0.0008244778307072187,0.5,0.5,0.0,0.5,0.0,-0.0008244778307072187,0.0,1,1,0,1,42,0.8833333333333333
0000004962,1447,AXP,American Express Company,2024-02-09,2024,22736,573,150025,3,1,0,1,1,0.1176988036593948,0.0007916959887403237,0.0,0.0007916959887403237,0.0007916959887403237,0.5,0.5,0.0,0.5,0.0,-0.0007916959887403237,0.0,1,1,0,1,50,0.9
0000004962,1447,AXP,American Express Company,2025-02-07,2025,22542,565,148567,3,1,0,1,1,0.13179842072575637,0.0009759559932570313,0.0,0.0007985094490284802,0.0007985094490284802,0.5,0.5,0.0,0.5,-0.00017744654422855116,-0.0009759559932570313,-0.00017744654422855116,1,1,0,1,44,0.9166666666666666
0000004977,1449,AFL,Aflac Incorporated,2019-02-25,2019,103853,2686,754644,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,289,0.0
0000004977,1449,AFL,Aflac Incorporated,2020-02-21,2020,88071,2384,651706,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0
0000004977,1449,AFL,Aflac Incorporated,2021-02-23,2021,93955,2586,697889,1,0,0,0,0,0.00061731680059603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,205,0.95
0000004977,1449,AFL,Aflac Incorporated,2022-02-23,2022,89402,2434,674743,2,0,0,0,0,0.0009172054316458245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.95
0000004977,1449,AFL,Aflac Incorporated,2023-02-24,2023,91902,2497,696760,3,0,0,0,0,0.0011969271615416422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,206,1.0
0000004977,1449,AFL,Aflac Incorporated,2024-02-22,2024,92583,2476,718711,3,1,0,1,1,0.0011773219705561496,0.0003024313318859834,0.0,0.0005616581877882548,0.0005616581877882548,0.5,0.5,0.0,0.5,0.0002592268559022714,-0.0003024313318859834,0.0002592268559022714,1,1,0,1,223,0.9333333333333332
