gvkey,fyear,datadate,capx,intan,prcc_f
001689,2019,2019-12-31,862.6000,0.0000,
001689,2020,2020-12-31,767.4000,0.0000,
001689,2021,2021-12-31,841.6000,0.0000,
001689,2022,2022-12-31,1048.6000,0.0000,
001689,2023,2023-12-31,1053.0000,0.0000,
001689,2024,2024-12-31,1009.4000,0.0000,
001689,2025,2025-12-31,1056.0000,0.0000,
001690,2018,2018-09-30,13313.0000,,225.740000000000
001690,2019,2019-09-30,10495.0000,,223.970000000000
001690,2020,2020-09-30,7309.0000,,115.810000000000
001690,2021,2021-09-30,11085.0000,,141.500000000000
001690,2022,2022-09-30,10708.0000,,138.200000000000
001690,2023,2023-09-30,10959.0000,,171.210000000000
001690,2024,2024-09-30,9447.0000,,233.000000000000
001690,2025,2025-09-30,12715.0000,,254.630000000000
001704,2018,2018-10-31,622.0000,3581.0000,32.880000000000
001704,2019,2019-10-31,441.0000,3555.0000,54.260000000000
001704,2020,2020-10-31,422.0000,3619.0000,59.230000000000
001704,2021,2021-10-31,668.0000,3583.0000,136.650000000000
001704,2022,2022-10-31,787.0000,4039.0000,88.290000000000
001704,2023,2023-10-31,1106.0000,4026.0000,132.350000000000
001704,2024,2024-10-31,1190.0000,3981.0000,181.580000000000
001704,2025,2025-10-31,2260.0000,3933.0000,233.100000000000
001706,2018,2018-08-31,20.8700,693.4490,29.450000000000
001706,2019,2019-08-31,14.9230,312.7900,22.210000000000
001706,2020,2020-08-31,12.0530,343.5360,20.800000000000
001706,2021,2021-08-31,12.0190,332.1380,25.160000000000
001706,2022,2022-08-31,8.4170,299.4560,19.400000000000
001706,2023,2023-08-31,9.4000,303.8320,26.200000000000
001706,2024,2024-08-31,11.4110,305.6550,41.240000000000
001706,2025,2025-08-31,19.3400,336.7290,42.340000000000
001712,2018,2018-12-31,25.2850,40.7450,7.800000000000
001712,2019,2019-12-31,10.0790,14.7360,7.150000000000
001712,2020,2020-12-31,13.3510,12.8930,6.990000000000
001712,2021,2021-12-31,14.1520,11.0560,8.080000000000
001718,2018,2018-06-30,0.0000,0.0000,0.130000000000
001718,2019,2019-06-30,0.0000,0.0000,0.115000000000
001718,2020,2020-06-30,0.0000,0.0000,0.100000000000
001718,2021,2021-06-30,0.0000,0.0000,0.430025000000
001718,2022,2022-06-30,0.0000,0.0000,0.200000000000
